top(0)/btm(1)/mid(2),0(normalGirl)/1(specialGirl)/2(normalMan)/3(specialMan)/4(teacher),x,left,right,0/1(direction),type
1
0,2,120,120,400,1,1
0,2,700,700,1300,1,2
0,2,1700,1700,2350,1,1
1,2,2000,1200,2000,0,3
1,2,1000,200,1000,0,2
0,0,800,800,1600,1,1
0,0,400,400,1200,1,2
1,0,2250,1100,2250,0,1
1,0,1000,200,1000,0,2
2
0,2,250,250,700,1,3
0,2,550,550,1550,1,1
0,2,1400,1400,1800,1,1
0,2,1200,1710,1200,0,2
0,2,1850,1310,1850,0,3
1,2,2050,2050,2550,1,3
1,2,1000,200,1000,0,2
1,2,950,950,1350,1,2
0,0,350,350,950,1,1
0,0,1800,1000,1800,0,2
1,0,2250,1100,2250,0,1
1,0,1900,1900,2550,1,2
1,0,800,800,2000,1,1
2,4,1000,,,,
3
0,2,180,180,700,1,2
0,2,600,600,1350,1,1
1,2,1000,1000,2100,1,3
1,2,2550,1700,2550,0,2
0,0,450,450,1000,1,2
0,0,1050,1050,1850,1,2
1,0,2600,1450,2600,0,1
1,0,800,800,1350,1,1
1,3,1400,1400,1580,1,1
0,0,1250,1250,1500,1,2
0,0,1350,1350,1600,1,1
1,0,1700,1300,1700,0,1
1,0,1540,1380,1540,0,2
4
0,2,180,180,900,1,2
0,2,1050,600,1050,0,3
1,2,1550,1550,2580,1,1
1,2,1800,1800,2400,1,3
1,2,2600,1700,2600,0,1
0,0,300,300,900,1,1
0,0,2000,1500,2000,0,2
1,0,1880,1880,2300,1,2
0,3,1580,1580,1750,1,2
0,0,1450,1450,1700,1,1
0,0,1550,1550,1780,1,1
1,0,1800,1350,1800,0,1
1,0,1850,1380,1850,0,2
1,0,1720,1600,1720,0,2
